"ENROLLMENT ID","ENROLLMENT STATE","PROVIDER TYPE CODE","PROVIDER TYPE TEXT","NPI","MULTIPLE NPI FLAG","CCN","ASSOCIATE ID","ORGANIZATION NAME","DOING BUSINESS AS NAME","INCORPORATION DATE","INCORPORATION STATE","ORGANIZATION TYPE STRUCTURE","ORGANIZATION OTHER TYPE TEXT","PROPRIETARY_NONPROFIT","NURSING HOME PROVIDER NAME","AFFILIATION ENTITY NAME","AFFILIATION ENTITY ID","ADDRESS LINE 1","ADDRESS LINE 2","CITY","STATE","ZIP CODE"
O20020824000003,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1497807119,N,445467,7214844158,"CROCKETT COUNTY NURSING HOME, INC.",ALAMO NURSING AND REHABILITATION CENTER,03/18/1980,TN,CORPORATION,,P,ALAMO NURSING AND REHABILITATION CENTER,,,580 WEST MAIN STREET,,ALAMO,TN,380011545
O20020827000000,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1598719312,N,065232,3072420918,"PEAK MEDICAL COLORADO NO. 2, LLC",PUEBLO CENTER,05/10/2002,DE,CORPORATION,,P,PUEBLO CENTER,GENESIS HEALTHCARE,237,2611 JONES  AVENUE,"PEAK MEDICAL COLORADO NO. 2, INC",PUEBLO,CO,810042650
O20020828000001,MD,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1265433528,N,215341,1254248107,"LORIEN HARFORD, INC",LORIEN BEL AIR,12/17/1998,MD,CORPORATION,,P,LORIEN NSG & REHAB CTR BELAIR,LORIEN HEALTH SERVICES,324,1909 EMMORTON RD,LORIEN BEL AIR,BEL AIR,MD,210156256
O20020829000002,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1265427934,N,105319C,5092622951,SUN CITY CENTER ASSOCIATES LTD LP,SUN TERRACE HEALTH CARE CENTER,01/12/1963,GA,OTHER,LIMITED PARTNERSHIP,P,SUN TERRACE HEALTH CARE CENTER,CLEAR CHOICE HEALTHCARE,149,105 TRINITY LAKES DR,,SUN CITY CENTER,FL,335735728
O20020829000012,NJ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1558360255,N,315479,2961319827,"CARE TWO, LLC",CARE ONE AT LIVINGSTON,08/21/1998,DE,LLC,,P,CAREONE AT LIVINGSTON,CAREONE,109,68 PASSAIC AVE,,LIVINGSTON,NJ,070395811
O20020903000000,IL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1992894802,N,146049,4385551258,IROQUOIS MEMORIAL HOSPITAL AND RESIDENT HOME,IROQUOIS RESIDENT HOME,09/07/1958,IL,CORPORATION,,N,"IROQUOIS RESIDENT HOME, THE",,,200 E FAIRMAN AVE,,WATSEKA,IL,609701644
O20020904000008,WA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1558360024,N,505074,9234046103,MANOR PARK HEALTHCARE LLC,PARK MANOR REHABILITATION CENTER,07/15/2002,NV,LLC,,P,PARK MANOR REHABILITATION CTR,THE ENSIGN GROUP,507,1710 PLAZA WAY,,WALLA WALLA,WA,993624362
O20020904000020,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1760477558,N,555070,3476460353,SOUTHLAND MANAGMENT LLC,SOUTHLAND,10/30/1999,NV,LLC,,P,SOUTHLAND,THE ENSIGN GROUP,507,11701 STUDEBAKER ROAD,,NORWALK,CA,906507544
O20020909000010,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1033110770,N,335842,1850208752,PECONIC LANDING AT SOUTHOLD INC,"PECONIC LANDING AT SOUTHOLD, INC.",12/30/1994,NY,CORPORATION,,N,PECONIC LANDING AT SOUTHOLD,,,1500 BRECKNOCK RD,,GREENPORT,NY,119443117
O20020910000037,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1558308692,N,115387,6709793615,TOOMBS NURSING HOME LLC,OXLEY PARK HEALTH AND REHABILITATION,07/01/2002,GA,LLC,,N,OXLEY PARK HEALTH AND REHABILITATION,"HEALTH SYSTEMS FACILITIES, INC.",258,181 OXLEY DR,,LYONS,GA,304365644
O20020911000000,KY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1962514380,N,185125,0244147163,"HILLCREST NURSING HOME OF CORBIN, INC.",HILLCREST HEALTH & REHABILITATION CENTER,01/10/1972,KY,CORPORATION,,P,HILLCREST HEALTH AND REHABILITATION CENTER,SEKY HOLDING CO.,468,1245 AMERICAN GREETING CARD ROAD,,CORBIN,KY,407014881
O20020911000014,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1821190158,N,366253,6204743123,"SOUTH BROADWAY HEALTHCARE GROUP, INC",AMBERWOOD MANOR,08/23/2002,OH,CORPORATION,,P,AMBERWOOD MANOR,SABER HEALTHCARE GROUP,461,245 S BROADWAY ST,,NEW PHILADELPHIA,OH,446633842
O20020912000012,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1235171174,N,115507,3870400690,TAYLOR COUNTY HEALTH CARE LLC,TAYLOR COUNTY HEALTH AND REHABILITATION,07/01/2002,GA,LLC,,N,TAYLOR COUNTY HEALTH AND REHABILITATION,"HEALTH SYSTEMS FACILITIES, INC.",258,165 S BROAD ST,,BUTLER,GA,310065526
O20020913000002,VA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1073500310,N,495366,8820905748,"LAKE PRINCE CENTER, INC.",LAKE PRINCE WOODS,07/12/1999,NC,CORPORATION,,N,"LAKE PRINCE WOODS, INC",,,100 ANNA GOODE WAY,,SUFFOLK,VA,234349236
O20020913000007,KY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1003928482,N,185150,0749197564,"KNOTT COUNTY NURSING HOME, INC.",KNOTT COUNTY HEALTH & REHABILITATION CENTER,01/02/1986,KY,CORPORATION,,P,KNOTT COUNTY HEALTH AND REHABILITATION CENTER,SEKY HOLDING CO.,468,388 PERKINS MADDEN RD,,HINDMAN,KY,418229003
O20020913000015,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1811986656,N,015015,3072420801,"C & G HEALTHCARE SERVICES, INC.",PLANTATION MANOR NURSING HOME,06/17/2002,AL,CORPORATION,,P,PLANTATION MANOR NURSING HOME,,,6450 OLD TUSCALOOSA HWY,,MC CALLA,AL,351113606
O20020913000016,KY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1750493151,N,185148,3870400609,"WILLIAMSBURG NURSING HOME, INC.",WILLIAMSBURG HEALTH & REHABILITATION CENTER,02/17/1976,KY,CORPORATION,,P,WILLIAMSBURG HEALTH AND REHABILITATION CENTER,SEKY HOLDING CO.,468,287 N 11TH ST,,WILLIAMSBURG,KY,407691759
O20020914000000,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1659313716,N,115357,1759298581,OCONEE HEALTH CARE LLC,OCONEE HEALTH AND REHABILITATION,07/01/2002,GA,LLC,,N,OCONEE HEALTH AND REHABILITATION,"HEALTH SYSTEMS FACILITIES, INC.",258,107 RIDGEVIEW DR,BOX 130,OCONEE,GA,310670130
O20020916000006,KY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1013029420,N,185366,6901713742,"CORBIN NURSING HOME, INC.",CORBIN HEALTH & REHABILITATION CENTER,08/27/1979,KY,CORPORATION,,P,CORBIN HEALTH AND REHABILITATION CENTER,SEKY HOLDING CO.,468,270 BACON CREEK RD,,CORBIN,KY,407018640
O20020916000008,KY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1730291022,N,185166,1456268291,"HARLAN NURSING HOME, INC.",HARLAN HEALTH & REHABILITATION CENTER,12/05/1985,KY,CORPORATION,,P,HARLAN HEALTH AND REHABILITATION CENTER,SEKY HOLDING CO.,468,200 MEDICAL CENTER DR,,HARLAN,KY,408310014
O20020916000010,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1922004282,N,335232,2264349000,DEWITT REHABILITATION AND NURSING CENTER INC,UPPER EAST SIDE REHABILITATION AND NURSING CENTER,08/09/2002,NY,CORPORATION,,P,UPPER EAST SIDE REHABILITATION AND NURSING CENTER,CASSENA CARE,119,211 E 79TH ST,,NEW YORK,NY,100750819
O20020916000014,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1205932126,N,555797,6608783444,GORDON LANE HEALTHCARE LLC,GORDON LANE CARE CENTER,10/12/2001,CA,LLC,,P,GORDON LANE CARE CENTER,THOMAS CHAMBERS & DAVID JOHNSON,518,1821 E CHAPMAN AVE,,FULLERTON,CA,928314102
O20020916000017,KY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1922101815,N,185213,8325955164,"WOLFE COUNTY HEALTH CARE CENTER, INC.",WOLFE COUNTY HEALTH & REHABILITAION CENTER,09/28/1988,KY,CORPORATION,,P,WOLFE COUNTY HEALTH AND REHABILITATION CENTER,SEKY HOLDING CO.,468,850 HWY 191,,CAMPTON,KY,41301
O20020916000021,NH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1366445090,N,305054,8921915760,COUNTY OF CHESHIRE,MAPLEWOOD NURSING HOME,,,OTHER,GOVERNMENT,N,CHESHIRE COUNTY HOME,,,201 RIVER RD,,WESTMORELAND,NH,034674410
O20020916000022,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1043252083,N,115382,0749197580,SPARTA HEALTH CARE LLC,SPARTA HEALTH AND REHABILITATION,07/01/2002,GA,LLC,,N,SPARTA HEALTH AND REHABILITATION,"HEALTH SYSTEMS FACILITIES, INC.",258,11744 GA HIGHWAY 22,,SPARTA,GA,310871475
O20020918000006,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1952485989,N,115682,1456268218,"WESLEY WOODS CENTER OF EMORY UNIVERSITY, INC",BUDD TERRACE AT WESLEY WOODS,09/01/1998,GA,CORPORATION,,N,BUDD TERRACE AT WESLEY WOODS,,,1833  CLIFTON RD NE,,ATLANTA,GA,303294021
O20020923000001,CO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1104870542,N,065147,3072420918,"PEAK MEDICAL COLORADO NO. 2, LLC",CHEYENNE MOUNTAIN CENTER,05/10/2002,DE,CORPORATION,,P,CHEYENNE MOUNTAIN CENTER,GENESIS HEALTHCARE,237,835 TENDERFOOT HILL RD,,COLORADO SPRINGS,CO,809063903
O20020927000017,KS,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1528061124,N,175100,2163339821,VIA CHRISTI VILLAGE MANHATTAN INC,ASCENSION LIVING VIA CHRISTI VILLAGE MANHATTAN,01/19/1990,KS,CORPORATION,,N,"VIA CHRISTI VILLAGE MANHATTAN, INC",ASCENSION LIVING,48,2800 WILLOW GROVE RD,,MANHATTAN,KS,665022096
O20020930000005,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1629065289,N,015378,2860309531,PREFERRED HEALTH HOLDINGS LLC,MARSHALL MANOR NURSING HOME,05/30/2002,AL,LLC,,P,MARSHALL MANOR NURSING HOME,,,3120  NORTH                         ST,,GUNTERSVILLE,AL,359762962
O20020930000011,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1972598498,N,165481,1658288329,MAYFLOWER HOMES INC,MAYFLOWER HOME,11/21/1950,IA,CORPORATION,,N,MAYFLOWER HOME,,,616 BROAD ST,,GRINNELL,IA,501122298
O20021001000004,KY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1578675963,N,185164,5597672279,"BARBOURVILLE NURSING HOME, INC.",BARBOURVILLE HEALTH & REHABILITATION CENTER,06/15/1981,KY,CORPORATION,,P,BARBOURVILLE HEALTH AND REHABILITATION CENTER,SEKY HOLDING CO.,468,65 MINTON HICKORY FARM RD,,BARBOURVILLE,KY,409068302
O20021001000005,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1104826486,N,555639,5496662173,ODD FELLOWS HOME OF CALIFORNIA,THE MEADOWS OF NAPA VALLEY,02/24/1967,CA,CORPORATION,,N,THE MEADOWS OF NAPA VALLEY,PACIFIC RETIREMENT SERVICES,391,1800 ATRIUM PKWY,,NAPA,CA,945594837
O20021003000004,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1760572564,N,366255,0446167142,"HOLGATE CARE CENTER, LLC",VANCREST HEALTH CARE CENTER OF HOLGATE,05/29/2002,OH,LLC,,P,VANCREST HEALTH CARE CTR OF HO,VANCREST HEALTH CARE CENTERS,542,600 JOE E BROWN AVE,,HOLGATE,OH,435279803
O20021004000016,NH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1528061710,N,305044A,7810804424,"METRO HEALTH FOUNDATION OF NEW HAMPSHIRE, INC.",GOLDEN VIEW HEALTH CARE CENTER,07/20/1998,NH,CORPORATION,,N,GOLDEN VIEW HEALTH CARE CENTER,,,19  NH ROUTE 104,,MEREDITH,NH,032535715
O20021007000002,MA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1093714693,N,225014A,3779490305,"SPAULDING NURSING AND THERAPY CENTER BRIGHTON, INC.",SPAULDING NURSING AND THERAPY CENTER BRIGHTON,08/09/1985,MA,CORPORATION,,N,SPAULDING NURSING AND THERAPY CENTER - BRIGHTON,,,100 N BEACON ST,,ALLSTON,MA,021341928
O20021007000020,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1306827456,N,335486,0143137760,"PELHAM PARKWAY NURSING CARE & REHABILITATION FACILITY, LLC","PELHAM PARKWAY NURSING CARE AND REHABILITATION FACILITY, LLC",04/07/1999,NY,LLC,,P,PELHAM PARKWAY NURSING CARE & REHAB FACILITY L L C,,,2401 LACONIA AVE,,BRONX,NY,104691406
O20021008000036,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1063409647,N,245402,8123935764,GLENWOOD VILLAGE CARE CENTER INC,,12/10/1963,MN,CORPORATION,,N,GLENWOOD VILLAGE CARE CENTER,,,719 2ND ST SE,,GLENWOOD,MN,563341810
O20021009000021,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1215911995,N,366153,2466369020,"CHS - OHIO VALLEY, INC",TERRACE VIEW GARDENS,02/04/2002,OH,CORPORATION,,P,TERRACE VIEW GARDENS,FOUNDATIONS HEALTH SOLUTIONS,225,3904 N BEND RD,,CINCINNATI,OH,452114855
O20021010000015,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1992793475,N,165309,5294642864,SHELL ROCK HEALTHCARE CENTER INC,SHELL ROCK SENIOR LIVING,03/20/1998,MN,CORPORATION,,P,SHELL ROCK SENIOR LIVING,ACCURA HEALTHCARE,8,920 N CHERRY ST,,SHELL ROCK,IA,506709760
O20021010000016,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1477541951,N,245468B,7012824683,"KARLSTAD HEALTHCARE CENTER, INC",,08/30/1995,MN,CORPORATION,,P,KARLSTAD HEALTHCARE CENTER INC,ACCURA HEALTHCARE,8,304 WASHINGTON AVE W,,KARLSTAD,MN,567324018
O20021010000022,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1669478129,N,245266,1557278124,CITY OF LAKES CARE CENTER,BENEDICTINE HEALTH CENTER OF MINNEAPOLIS,10/02/2000,MN,CORPORATION,,N,BENEDICTINE HEALTH CENTER OF MINNEAPOLIS,BENEDICTINE HEALTH SYSTEM,75,618 E 17TH STREET,,MINNEAPOLIS,MN,554041506
O20021010000027,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1760440622,N,245536A,1355258922,"MABEL HEALTHCARE CENTER, INC",GREEN LEA SENIOR LIVING,10/01/1995,MN,CORPORATION,,P,,,,115 LYNDALE ST N,,MABEL,MN,559543017
O20021010000029,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1558359042,N,245320,2163339730,INVER WOOD HEALTHCARE CENTER INC,WOODLYN HEIGHTS SENIOR LIVING,02/19/1999,MN,CORPORATION,,P,WOODLYN HEIGHTS HEALTHCARE CENTER,ACCURA HEALTHCARE,8,2060 UPPER 55TH ST E,,INVER GROVE HEIGHTS,MN,550771725
O20021010000039,SD,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1356342851,N,435097,5294642872,"LAKE ANDES HEALTH CARE CENTER, INC.",LAKE ANDES SENIOR LIVING,06/17/1997,MN,CORPORATION,,P,LAKE ANDES SENIOR LIVING,ACCURA HEALTHCARE,8,740 E LAKE ST,,LAKE ANDES,SD,573562001
O20021010000040,SD,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1194796631,N,435084,6002723681,"FAULKTON HEALTHCARE CENTER, INC",FAULKTON SENIOR LIVING,09/29/1997,MN,CORPORATION,,P,FAULKTON SENIOR LIVING,ACCURA HEALTHCARE,8,1401 PEARL ST,,FAULKTON,SD,574382219
O20021011000016,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1245228725,N,245371,8426965013,"TRACY HEALTHCARE CENTER, INC",PRAIRIE VIEW SENIOR LIVING,08/30/1989,MN,CORPORATION,,P,PRAIRIE VIEW SENIOR LIVING,ACCURA HEALTHCARE,8,250 5TH ST E,,TRACY,MN,561751537
O20021011000017,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1861480345,N,245375,5698682284,STERLING PARK HEALTHCARE CENTER INC,STERLING PARK SENIOR LIVING,03/08/2000,MN,CORPORATION,,P,STERLING PARK HEALTH CARE CENTER,,,142 1ST ST N,,WAITE PARK,MN,563871273
O20021016000021,SD,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1770586604,N,435119,7012825623,WILMOT CARE CENTER,,03/19/2001,SD,CORPORATION,,N,WILMOT CARE CENTER INC,,,501 4TH ST,,WILMOT,SD,572792232
O20021017000002,MO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1659363224,N,265742,7911815535,"CLINTON CONVALESCENT CENTER, INC.",OAKRIDGE OF PLATTSBURG,12/04/1968,MO,CORPORATION,,N,OAKRIDGE OF PLATTSBURG,,,205 E CLAY AVE,,PLATTSBURG,MO,644778100
O20021018000020,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1366437188,N,165472,1456269083,SCENIC LIVING COMMUNITIES INC,SCENIC MANOR,03/25/1974,IA,CORPORATION,,P,SCENIC MANOR,,,1409 N FREMONT ST,,IOWA FALLS,IA,501261319
O20021021000028,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1619080462,N,165261,7113835760,PRESBYTERIAN HOMES MILL POND INC,MILL POND,12/31/1997,MN,CORPORATION,,N,MILL-POND,PRESBYTERIAN HOMES & SERVICES,412,1201 SE MILL POND CT,,ANKENY,IA,500216534
O20021024000025,ME,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1366431694,N,205020A,4789592270,BANGOR NURSING & REHABILITATION CENTER,BANGOR NURSING & REHABILITATION CEN,01/01/2001,ME,CORPORATION,,N,BANGOR NURSING & REHABILITATION CENTER,COVENANT HEALTH,167,103 TEXAS AVE,,BANGOR,ME,044014324
O20021025000027,IA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1609863539,N,165483,8022926526,WESLEY RETIREMENT SERVICES INC,HALCYON HOUSE,07/07/1947,IA,CORPORATION,,N,HALCYON HOUSE,WESLEYLIFE,561,1015 S IOWA AVE,,WASHINGTON,IA,523531126
O20021025000030,VT,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1366522005,N,475057,4183532690,THE MANOR INC,,07/13/1998,VT,CORPORATION,,N,"THE MANOR, INC",,,577 WASHINGTON HWY,,MORRISVILLE,VT,056618972
O20021028000005,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1851347033,N,015431,0840108361,"VALLEY VIEW HEALTH AND REHABILITATION, LLC",,10/08/2002,AL,LLC,,P,"VALLEY VIEW HEALTH AND REHABILITATION, LLC",NHS MANAGEMENT,372,5968 WALL TRIANA HWY,,MADISON,AL,357577200
O20021028000015,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1255387379,N,015109,2163330689,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",,08/20/2002,AL,LLC,,P,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",NHS MANAGEMENT,372,1201 22ND ST N,,BIRMINGHAM,AL,352342726
O20021028000029,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1427005552,N,015097,7315855830,"SOUTH HEALTH AND REHABILITATION, LLC",,08/20/2002,AL,LLC,,P,"SOUTH HEALTH AND REHABILITATION, LLC",NHS MANAGEMENT,372,1220 17TH ST S,,BIRMINGHAM,AL,352054747
O20021029000008,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1811971088,N,366198,1951218577,"CHS - MIAMI VALLEY, INC",GOLDEN YEARS NURSING HOME,02/04/2002,OH,CORPORATION,,P,GOLDEN YEARS NURSING CENTER,FOUNDATIONS HEALTH SOLUTIONS,225,2436 OLD OXFORD RD,,HAMILTON,OH,450139332
O20021030000003,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1700832870,N,015117,0345158887,OAK KNOLL HEALTH AND REHABILITATION LLC,,08/20/2002,AL,LLC,,P,"OAK KNOLL HEALTH AND REHABILITATION, LLC",NHS MANAGEMENT,372,824 6TH AVE W,,BIRMINGHAM,AL,352043402
O20021030000005,AL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1588611271,N,015027,8426966961,"WETUMPKA HEALTH AND REHABILITATION, LLC",,08/20/2002,AL,LLC,,P,"WETUMPKA HEALTH AND REHABILITATION, LLC",NHS MANAGEMENT,372,1825 HOLTVILLE RD,,WETUMPKA,AL,360928211
O20021030000012,NH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1972629582,N,305046,1951219401,COUNTY OF ROCKINGHAM,ROCKINGHAM COUNTY NURSING HOME,,,OTHER,COUNTY FACILITY,P,ROCKINGHAM COUNTY NURSING HOME,,,117  NORTH RD,ROCKINGHAM COUNTY NURSING HOME,BRENTWOOD,NH,038336624
O20021101000009,NJ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1699769323,N,315177,2163330622,"GATEWAY CARE CENTER, LLC",GATEWAY CARE CENTER,05/31/2002,NJ,LLC,,P,GATEWAY CARE CENTER,,,139 GRANT AVE,,EATONTOWN,NJ,077241306
O20021104000004,NV,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1144279472,N,295079,3870401342,"EVERGREEN AT MOUNTAIN VIEW, L.L.C.",MOUNTAIN VIEW HEALTH & REHAB CTR,08/26/2002,WA,LLC,,P,MOUNTAIN VIEW HEALTH & REHAB,EMPRES HEALTHCARE GROUP,203,201 KOONTZ LANE,,CARSON CITY,NV,897015513
O20021106000007,OK,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1568469740,N,375427,7416865894,FAIRVIEW FELLOWSHIP HOME FOR SENIOR CITIZENS INC,FAIRVIEW FELLOWSHIP HOME,02/11/1960,OK,CORPORATION,,N,"FAIRVIEW FELLOWSHIP HOME FOR SENIOR CITIZENS, INC",,,605E STATE RD,,FAIRVIEW,OK,737371455
O20021106000014,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1598749764,N,366251,4486562865,"CHS - MT. HEALTHY, INC",THE HOME AT HEARTHSTONE,09/16/2002,OH,CORPORATION,,P,"HOME AT HEARTHSTONE, THE",FOUNDATIONS HEALTH SOLUTIONS,225,8028 HAMILTON AVE,,CINCINNATI,OH,452312322
